qubit_run_id,qubit_run_id_local,date_qubited,extraction_id,date_extracted,dilution_factor,ng_per_ul,ng_per_ml,ul_elution_original,ul_original_consumed,notes
1,,20260213,2,20260212,original_extract,High,,75,5,
1,,20260213,3,20260212,original_extract,High,,75,5,
1,,20260213,4,20260212,original_extract,High,,75,5,
1,,20260213,6,20260212,original_extract,13.9,,75,5,
1,,20260213,14,20260212,original_extract,High,,75,5,
1,,20260213,21,20260212,original_extract,10.4,,75,5,
1,,20260213,25,20260212,original_extract,6.52,,75,5,
1,,20260213,29,20260212,original_extract,High,,75,5,
1,,20260213,31,20260212,original_extract,6.88,,75,5,
1,,20260213,35,20260212,original_extract,4.48,,75,5,
1,,20260213,38,20260212,original_extract,14.4,,75,5,
1,,20260213,43,20260212,original_extract,12,,75,5,
1,,20260213,45,20260212,original_extract,8.86,,75,5,
1,,20260213,51,20260212,original_extract,High,,75,5,
1,,20260213,52,20260212,original_extract,High,,75,5,
1,,20260213,60,20260212,original_extract,10.4,,75,5,
1,,20260213,63,20260212,original_extract,20,,75,5,
1,,20260213,67,20260212,original_extract,8.52,,75,5,
1,,20260213,68,20260212,original_extract,3.14,,75,5,
1,,20260213,71,20260212,original_extract,4,,75,5,
1,,20260213,74,20260212,original_extract,2.5,,75,5,
1,,20260213,75,20260212,original_extract,2.66,,75,5,
1,,20260213,80,20260212,original_extract,2.04,,75,5,
1,,20260213,88,20260212,original_extract,High,,75,20,
2,,20260213,2,20260212,1:1,12.2,,75,20,
2,,20260213,3,20260212,1:1,High,,75,20,
2,,20260213,4,20260212,1:1,15.8,,75,20,
2,,20260213,14,20260212,1:1,Low,,75,20,
2,,20260213,29,20260212,1:1,High,,75,20,
2,,20260213,51,20260212,1:1,High,,75,20,
2,,20260213,52,20260212,1:1,High,,75,20,
2,,20260213,88,20260212,1:1,22.8,,75,20,
3,,20260213,3,20260212,1:3,23.2,,75,0,
3,,20260213,14,20260212,1:1,15.7,,75,20,
3,,20260213,29,20260212,1:3,7.56,,75,10,
3,,20260213,51,20260212,1:3,16.2,,75,0,
3,,20260213,52,20260212,1:3,13.1,,75,0,
4,2026-04-22_033226,20260421,1,20260414,original_extract,,High,80,5,
4,2026-04-22_033226,20260421,7,20260414,original_extract,,High,80,5,
4,2026-04-22_033226,20260421,8,20260414,original_extract,,Low,80,5,
4,2026-04-22_033226,20260421,9,20260414,original_extract,,Low,80,5,
4,2026-04-22_033226,20260421,11,20260414,original_extract,,High,80,5,
4,2026-04-22_033226,20260421,16,20260414,original_extract,,Low,80,5,
4,2026-04-22_033226,20260421,17,20260414,original_extract,,High,80,5,
4,2026-04-22_033226,20260421,26,20260414,original_extract,,7840,80,5,
4,2026-04-22_034353,20260421,27,20260414,original_extract,,High,80,5,
4,2026-04-22_034353,20260421,28,20260414,original_extract,,6840,80,5,
4,2026-04-22_034353,20260421,30,20260414,original_extract,,16560,80,5,
4,2026-04-22_034353,20260421,32,20260414,original_extract,,11760,80,5,
4,2026-04-22_034353,20260421,33,20260414,original_extract,,5480,80,5,
4,2026-04-22_034353,20260421,34,20260414,original_extract,,932,80,5,
4,2026-04-22_034353,20260421,44,20260414,original_extract,,High,80,5,
4,2026-04-22_034353,20260421,47,20260414,original_extract,,3084,80,5,
4,2026-04-22_034353,20260421,50,20260414,original_extract,,7920,80,5,
4,2026-04-22_034353,20260421,53,20260414,original_extract,,7160,80,5,
4,2026-04-22_034353,20260421,54,20260414,original_extract,,High,80,5,
4,2026-04-22_034353,20260421,55,20260414,original_extract,,19560,80,5,
4,2026-04-22_034353,20260421,56,20260414,original_extract,,1252,80,5,
4,2026-04-22_034353,20260421,85,20260414,original_extract,,3256,80,5,
4,2026-04-22_034353,20260421,89,20260414,original_extract,,4520,80,5,
4,2026-04-22_034353,20260421,94,20260414,original_extract,,6840,80,5,
4,2026-04-22_034353,20260421,10,20260416,original_extract,,16640,80,5,
4,2026-04-22_034353,20260421,19,20260416,original_extract,,16080,80,5,
4,2026-04-22_034353,20260421,20,20260416,original_extract,,High,80,5,
4,2026-04-22_034353,20260421,22,20260416,original_extract,,High,80,5,
4,2026-04-22_034353,20260421,24,20260416,original_extract,,High,80,5,
4,2026-04-22_034353,20260421,42,20260416,original_extract,,7920,80,5,
4,2026-04-22_034353,20260421,48,20260416,original_extract,,5640,80,5,
4,2026-04-22_034353,20260421,49,20260416,original_extract,,10280,80,5,
4,2026-04-22_034353,20260421,57,20260416,original_extract,,17880,80,5,
4,2026-04-22_034353,20260421,58,20260416,original_extract,,9200,80,5,
4,2026-04-22_034353,20260421,62,20260416,original_extract,,5480,80,5,
4,2026-04-22_034353,20260421,69,20260416,original_extract,,7320,80,5,
4,2026-04-22_034353,20260421,72,20260416,original_extract,,4760,80,5,
4,2026-04-22_034353,20260421,73,20260416,original_extract,,4680,80,5,
4,2026-04-22_034353,20260421,77,20260416,original_extract,,7400,80,5,
4,2026-04-22_034353,20260421,79,20260416,original_extract,,1900,80,5,
4,2026-04-22_034353,20260421,82,20260416,original_extract,,4520,80,5,
4,2026-04-22_034353,20260421,83,20260416,original_extract,,3192,80,5,
4,2026-04-22_034353,20260421,84,20260416,original_extract,,11960,80,5,
4,2026-04-22_034353,20260421,90,20260416,original_extract,,10120,80,5,
4,2026-04-22_034353,20260421,91,20260416,original_extract,,7760,80,5,
4,2026-04-22_034353,20260421,92,20260416,original_extract,,6600,80,5,
4,2026-04-22_034353,20260421,93,20260416,original_extract,,3036,80,5,
4,2026-04-22_034353,20260421,97,20260416,original_extract,,3964,80,5,
0,,20251010,36,20251010,original_extract,3.24,,100,10,
0,,20251010,39,20251010,original_extract,1.72,,100,10,
5,2026-04-22_092204,20260421,8,20260414,original_extract,,High,80,5,
5,2026-04-22_092204,20260421,9,20260414,original_extract,,High,80,5,
5,2026-04-22_092204,20260421,16,20260414,original_extract,,High,80,5,
5,2026-04-22_092204,20260421,1,20260414,1:3,,12440,80,10,
5,2026-04-22_092204,20260421,7,20260414,1:3,,7440,80,10,
5,2026-04-22_092204,20260421,11,20260414,1:3,,16000,80,10,
5,2026-04-22_092204,20260421,17,20260414,1:3,,8240,80,10,
5,2026-04-22_092204,20260421,27,20260414,1:3,,11760,80,10,
5,2026-04-22_092204,20260421,44,20260414,1:3,,7920,80,10,
5,2026-04-22_092204,20260421,54,20260414,1:3,,10240,80,10,"AG handwritten notes have this as 52, but based on other notes from the same day this is 54"
5,2026-04-22_092204,20260421,20,20260416,1:3,,6640,80,10,
5,2026-04-22_092204,20260421,22,20260416,1:3,,12360,80,10,
5,2026-04-22_092204,20260421,24,20260416,1:3,,8640,80,10,